75,6.4,2.9,4.3,1.3,0,1,0
121,6.9,3.2,5.7,2.3,0,0,1
145,6.7,3.3,5.7,2.5,0,0,1
65,5.6,2.9,3.6,1.3,0,1,0
133,6.4,2.8,5.6,2.2,0,0,1
108,7.3,2.9,6.3,1.8,0,0,1
34,5.5,4.2,1.4,0.2,1,0,0
80,5.7,2.6,3.5,1.0,0,1,0
62,5.9,3.0,4.2,1.5,0,1,0
135,6.1,2.6,5.6,1.4,0,0,1
123,7.7,2.8,6.7,2.0,0,0,1
18,5.1,3.5,1.4,0.3,1,0,0
47,5.1,3.8,1.6,0.2,1,0,0
124,6.3,2.7,4.9,1.8,0,0,1
76,6.6,3.0,4.4,1.4,0,1,0
19,5.7,3.8,1.7,0.3,1,0,0
36,5.0,3.2,1.2,0.2,1,0,0
97,5.7,2.9,4.2,1.3,0,1,0
149,6.2,3.4,5.4,2.3,0,0,1
27,5.0,3.4,1.6,0.4,1,0,0
82,5.5,2.4,3.7,1.0,0,1,0
86,6.0,3.4,4.5,1.6,0,1,0
81,5.5,2.4,3.8,1.1,0,1,0
141,6.7,3.1,5.6,2.4,0,0,1
16,5.7,4.4,1.5,0.4,1,0,0
137,6.3,3.4,5.6,2.4,0,0,1
78,6.7,3.0,5.0,1.7,0,1,0
58,4.9,2.4,3.3,1.0,0,1,0
69,6.2,2.2,4.5,1.5,0,1,0
64,6.1,2.9,4.7,1.4,0,1,0
