15,14.38,1.87,2.38,12,102,3.3,3.64,.29,2.96,7.5,1.2,3,1547,1,0,0
153,13.11,1.9,2.75,25.5,116,2.2,1.28,.26,1.56,7.1,.61,1.33,425,0,0,1
1,14.23,1.71,2.43,15.6,127,2.8,3.06,.28,2.29,5.64,1.04,3.92,1065,1,0,0
167,13.45,3.7,2.6,23,111,1.7,.92,.43,1.46,10.68,.85,1.56,695,0,0,1
27,13.39,1.77,2.62,16.1,93,2.85,2.94,.34,1.45,4.8,.92,3.22,1195,1,0,0
52,13.83,1.65,2.6,17.2,94,2.45,2.99,.22,2.29,5.6,1.24,3.37,1265,1,0,0
132,12.88,2.99,2.4,20,104,1.3,1.22,.24,.83,5.4,.74,1.42,530,0,0,1
36,13.48,1.81,2.41,20.5,100,2.7,2.98,.26,1.86,5.1,1.04,3.47,920,1,0,0
47,14.38,3.59,2.28,16,102,3.25,3.17,.27,2.19,4.9,1.04,3.44,1065,1,0,0
101,12.08,2.08,1.7,17.5,97,2.23,2.17,.26,1.4,3.3,1.27,2.96,710,0,1,0
60,12.37,.94,1.36,10.6,88,1.98,.57,.28,.42,1.95,1.05,1.82,520,0,1,0
8,14.06,2.15,2.61,17.6,121,2.6,2.51,.31,1.25,5.05,1.06,3.58,1295,1,0,0
133,12.81,2.31,2.4,24,98,1.15,1.09,.27,.83,5.7,.66,1.36,560,0,0,1
152,12.79,2.67,2.48,22,112,1.48,1.36,.24,1.26,10.8,.48,1.47,480,0,0,1
160,13.48,1.67,2.64,22.5,89,2.6,1.1,.52,2.29,11.75,.57,1.78,620,0,0,1
129,12.37,1.63,2.3,24.5,88,2.22,2.45,.4,1.9,2.12,.89,2.78,342,0,1,0
143,13.52,3.17,2.72,23.5,97,1.55,.52,.5,.55,4.35,.89,2.06,520,0,0,1
34,13.76,1.53,2.7,19.5,132,2.95,2.74,.5,1.35,5.4,1.25,3,1235,1,0,0
150,13.08,3.9,2.36,21.5,113,1.41,1.39,.34,1.14,9.40,.57,1.33,550,0,0,1
170,13.4,4.6,2.86,25,112,1.98,.96,.27,1.11,8.5,.67,1.92,630,0,0,1
29,13.87,1.9,2.8,19.4,107,2.95,2.97,.37,1.76,4.5,1.25,3.4,915,1,0,0
48,13.9,1.68,2.12,16,101,3.1,3.39,.21,2.14,6.1,.91,3.33,985,1,0,0
121,11.45,2.4,2.42,20,96,2.9,2.79,.32,1.83,3.25,.8,3.39,625,0,1,0
64,12.37,1.13,2.16,19,87,3.5,3.1,.19,1.87,4.45,1.22,2.87,420,0,1,0
106,12.42,2.55,2.27,22,90,1.68,1.84,.66,1.42,2.7,.86,3.3,315,0,1,0
77,13.03,.9,1.71,16,86,1.95,2.03,.24,1.46,4.6,1.19,2.48,392,0,1,0
164,12.96,3.45,2.35,18.5,106,1.39,.7,.4,.94,5.28,.68,1.75,675,0,0,1
104,11.82,1.72,1.88,19.5,86,2.5,1.64,.37,1.42,2.06,.94,2.44,415,0,1,0
44,13.24,3.98,2.29,17.5,103,2.64,2.63,.32,1.66,4.36,.82,3,680,1,0,0
171,12.2,3.03,2.32,19,96,1.25,.49,.4,.73,5.5,.66,1.83,510,0,0,1
94,12.29,2.83,2.22,18,88,2.45,2.25,.25,1.99,2.15,1.15,3.3,290,0,1,0
50,13.94,1.73,2.27,17.4,108,2.88,3.54,.32,2.08,8.90,1.12,3.1,1260,1,0,0
79,12.33,.99,1.95,14.8,136,1.9,1.85,.35,2.76,3.4,1.06,2.31,750,0,1,0
68,12.37,1.17,1.92,19.6,78,2.11,2,.27,1.04,4.68,1.12,3.48,510,0,1,0
151,13.5,3.12,2.62,24,123,1.4,1.57,.22,1.25,8.60,.59,1.3,500,0,0,1
